dance_style,keywords
ballroom,"cha cha cha, foxtrot, quickstep, rhumba, rumba, samba, waltz"
country,"2-step,  cha cha, double shuffle, country waltz, line dance, night club, nite club, nite club 2, nite club two, two step, west coast swing, wcs"
kizomba,"kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur"
latin,"bachata,  cha cha, kizomba, merengue, salsa,  zouk"
swing,"balboa, east coast swing, lindy,  lindy hop, swing"
tango,"milonga, tango"
wcs,"west coast swing, wcs"
