pdf_url,parent_url,source,keywords
https://b61b97e2-612d-44ed-9740-8151c13f6a0a.filesusr.com/ugd/1dab27_82adb3d8d7534a6eb70b0c13c2827726.pdf,https://ellaquinceier.wixsite.com/victoriasummermusic,Victoria Summer Music,"dance, live music"
https://butchartgardens.com/wp-content/uploads/2025/06/Summer-Entertainment-calendar-double-sided-2025.pdf,https://butchartgardens.com/summer-entertainment-calendar/,The Butchart Gardens Outdoor Summer Concerts,"dance, live music"
