source,keywords,link,multiple
Bard and Banker,"bachata, cha cha, cumbia, merengue, salsa",https://www.bardandbanker.com/live-music,No
Victoria Ballroom Dance Society,"cha cha, foxtrot, quickstep, rumba, samba, waltz, west coast swing",https://vbds.org/other-dancing-opportunities/,No
Deb Rhymer Band,"lindy, swing, west coast swing",https://www.debrhymerband.com/shows,No
The Coda,"salsa, bachata, kizomba, merengue, swing, balboa, lindy hop, east coast swing, west coast swing, wcs, cuban salsa, rueda",https://gotothecoda.com/calendar,No
The Loft,"swing, balboa, lindy hop, east coast swing, west coast swing, wcs",https://loftpubvictoria.com/events/month/,Yes
