org_names,keywords,links,other_links
Victoria Kizomba Lovers Group,"Kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/1634269246863069/,
Kizomba Victoria,"Kizomba, urban kiz, semba, tarraxo, tarraxa, tarraxinha, douceur",https://www.facebook.com/groups/265269613666246/,
Latin Dance Canada,"Latin, salsa, bachata, kizomba, merengue, cha cha cha",https://latindancecanada.com/,
Salsa Caliente,"Latin, salsa, bachata, kizomba, merengue, cha cha cha",https://calientedance.com/,
Salsa Caliente,"Latin, salsa, bachata, kizomba, merengue, cha cha cha",https://calientedance.com/classes/,
Victoria Latin Dance Association,"Latin, salsa, bachata, kizomba, merengue",https://vlda.ca/,
Victoria Dance Events,"Latin, salsa, bachata, kizomba, merengue, cha cha cha",https://www.facebook.com/groups/3158235040/,
Red Hot Swing,"Swing, balboa, lindy hop, east coast swing",https://www.redhotswing.com/,
Victoria West Coast Swing Collective,"West Coast Swing, WCS",https://www.victoriawestcoastswing.com/,
