org_name,dance_style,url,event_type,event_name,day_of_week,start_date,end_date,start_time,end_time,price,location,description
Jay Holman,west coast swing,,workshop,Texture Your Moves for West Coast Swing,Saturday,2025-07-15,2025-07-15,11:00,13:00,,"516 Quadra St, Victoria, BC V8V 3S3, Canada","We will guide you through practical musicality and movement drills that will ""colour in"" any pattern in your repertoire."
David Greenberg and Friends,,,social dance,Bach in the Pub Series | David Greenberg and Friends,Wednesday,2025-01-15,2025-01-15,07:00,,,Hermann's Jazz Club,
BestCoast Outfitters,,,social dance,Adult Outdoor Adventure Social Program Meet & Greet,Wednesday,2025-01-15,2025-01-15,18:30,,,,
BestCoast Outfitters,,,social dance,Adult Outdoor Social Program Meet & Greet,Wednesday,2025-01-15,2025-01-15,18:30,,,,
