event_id,building_name,full_address,address_id
2272,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2275,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2281,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2282,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2283,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2284,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2285,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2286,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2296,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2298,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2299,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2302,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2307,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2309,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2319,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2321,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2347,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2346,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2352,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2353,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2355,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2356,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2357,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2358,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2359,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2377,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2390,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2403,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2405,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2417,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2406,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2407,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2412,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2413,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2414,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2415,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2416,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2418,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2419,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2431,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2436,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2437,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2438,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2439,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2441,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2445,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2454,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2458,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2467,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
