file_name,start_time_df,events_count_start,urls_count_start,events_count_end,urls_count_end,new_events_in_db,new_urls_in_db,time_stamp,elapsed_time
rd_ext.py,2025-05-15 08:23:05.834293,1072,6947,1106,6947,34,0,2025-05-15 08:24:52.821428,0 days 00:01:46.987135
db.py,2025-05-15 08:26:25.781664,1106,6947,1093,6947,-13,0,2025-05-15 08:26:28.052344,0 days 00:00:02.270680
rd_ext.py,2025-05-15 08:28:58.433174,1093,6947,1094,6947,1,0,2025-05-15 08:28:58.722239,0 days 00:00:00.289065
db.py,2025-05-15 08:36:31.271616,1094,6947,1093,6947,-1,0,2025-05-15 08:36:33.642095,0 days 00:00:02.370479
rd_ext.py,2025-05-15 08:37:03.692669,1093,6947,1094,6947,1,0,2025-05-15 08:37:04.491979,0 days 00:00:00.799310
db.py,2025-05-15 08:45:29.545853,1094,6947,1094,6947,0,0,2025-05-15 08:45:31.816074,0 days 00:00:02.270221
fb.py,2025-05-15 19:44:49.096359,1094,6947,1096,6948,2,1,2025-05-15 19:46:19.681793,0 days 00:01:30.585434
fb.py,2025-05-15 20:04:17.648531,1096,6948,1102,6951,6,3,2025-05-15 20:07:09.742400,0 days 00:02:52.093869
db.py,2025-05-15 20:26:15.370788,1102,6951,1097,6951,-5,0,2025-05-15 20:26:17.833469,0 days 00:00:02.462681
fb.py,2025-05-16 10:21:56.305214,1132,6954,1132,6954,0,0,2025-05-16 10:31:52.083806,0 days 00:09:55.778592
fb.py,2025-05-16 10:19:03.154125,1132,6954,1203,6956,71,2,2025-05-16 11:46:07.057009,0 days 01:27:03.902884
