org_name,dance_style,url,event_type,event_name,day_of_week,start_date,end_date,start_time,end_time,price,location,description
,,,,Thursdays Practica: Winter series,Thursday,2025-01-09,2025-01-09,19:30,22:30,,,
,,,social dance,Za Thomaier in Victoria,Friday,2025-02-07,2025-02-07,19:00,,,Victoria,
Alive Tango,tango,,,Argentinian Tango for Beginners - level 1,Friday,2025-01-10,2025-01-10,18:30,,,Victoria,
,salsa,,social dance,Caliente Salsa Saturdays,Saturday,2025-02-08,2025-02-08,20:15,,,Studio 4 Athletics,
Victoria International Kizomba Festival,kizomba,,other,Victoria International Kizomba Festival 6th: SENSUAL EDITION,Thursday,2025-04-17,2025-04-21,,,,"720 Douglas St, Victoria, BC V8W 3M6, Canada",
Jack & Jill Training & Competition,kizomba,,workshop,Quarterly Kizomba Jack & Jill Training & Competition,Saturday,2025-01-04,2025-01-05,,,,"5310 S 166th Street, Tukwila, WA, United States, Washington 98188",
Alive Tango,tango,,,Argentinian Tango for Beginners - level 1,Friday,2025-01-10,2025-01-10,18:30,,,Victoria,
Fairmont Empress,ballroom,,social dance,Pride & Prejudice Spring Ball,Saturday,2025-03-22,2025-03-22,17:00,,,Victoria Fairmont Empress,
,"kizomba, semba",,other,Unity: Kizomba/Semba/Afro Weekend,Friday,2025-03-21,2025-03-23,,,,"Vancouver, Canada",
